model_key,task_id,task_intent,input_profile,prompt_variant,retry_policy,attempt_count,pass_count,fail_count,term_pass,term_warning,term_fail,punctuation_warning,filler_warning,manual_review_warning
gemma4_e2b,l322_term_normalization_simple_mixed,term_normalization,ru_en_mixed_tech,term_glossary,off,5,5,0,5,0,0,0,0,5
gemma4_e2b,l322_term_normalization_simple_mixed,term_normalization,ru_en_mixed_tech,term_glossary,retry1,5,5,0,5,0,0,0,0,5
gemma4_e2b,l322_term_normalization_simple_ru_noise,term_normalization,raw_asr_ru_term_noise,term_glossary,off,5,5,0,5,0,0,0,0,5
gemma4_e2b,l322_term_normalization_simple_ru_noise,term_normalization,raw_asr_ru_term_noise,term_glossary,retry1,5,5,0,5,0,0,0,0,5
gemma4_e2b,l322_transcript_cleanup_simple_ru_fillers,transcript_cleanup,raw_asr_ru_fillers,strict_no_new_facts,off,5,5,0,0,0,0,5,0,5
gemma4_e2b,l322_transcript_cleanup_simple_ru_fillers,transcript_cleanup,raw_asr_ru_fillers,strict_no_new_facts,retry1,5,5,0,0,0,0,5,0,5
gemma4_e2b,l322_transcript_cleanup_simple_ru_no_punctuation,transcript_cleanup,raw_asr_ru_no_punctuation,strict_no_new_facts,off,5,5,0,5,0,0,5,0,5
gemma4_e2b,l322_transcript_cleanup_simple_ru_no_punctuation,transcript_cleanup,raw_asr_ru_no_punctuation,strict_no_new_facts,retry1,5,5,0,5,0,0,5,0,5
gemma4_e4b,l322_term_normalization_simple_mixed,term_normalization,ru_en_mixed_tech,term_glossary,off,5,5,0,5,0,0,0,0,5
gemma4_e4b,l322_term_normalization_simple_mixed,term_normalization,ru_en_mixed_tech,term_glossary,retry1,5,5,0,5,0,0,0,0,5
gemma4_e4b,l322_term_normalization_simple_ru_noise,term_normalization,raw_asr_ru_term_noise,term_glossary,off,5,5,0,5,0,0,0,0,5
gemma4_e4b,l322_term_normalization_simple_ru_noise,term_normalization,raw_asr_ru_term_noise,term_glossary,retry1,5,5,0,5,0,0,0,0,5
gemma4_e4b,l322_transcript_cleanup_simple_ru_fillers,transcript_cleanup,raw_asr_ru_fillers,strict_no_new_facts,off,5,5,0,0,0,0,5,0,5
gemma4_e4b,l322_transcript_cleanup_simple_ru_fillers,transcript_cleanup,raw_asr_ru_fillers,strict_no_new_facts,retry1,5,5,0,0,0,0,5,0,5
gemma4_e4b,l322_transcript_cleanup_simple_ru_no_punctuation,transcript_cleanup,raw_asr_ru_no_punctuation,strict_no_new_facts,off,5,5,0,5,0,0,5,0,5
gemma4_e4b,l322_transcript_cleanup_simple_ru_no_punctuation,transcript_cleanup,raw_asr_ru_no_punctuation,strict_no_new_facts,retry1,5,5,0,5,0,0,5,0,5
